"Character
",Picture (From wiki),type
Eddard Stark,http://img2.wikia.nocookie.net/__cb20110626030942/gameofthrones/images/thumb/9/9c/EddardStark.jpg/250px-EddardStark.jpg,jpg
Thoros of Myr,http://img1.wikia.nocookie.net/__cb20140514092737/gameofthrones/images/thumb/6/65/Thoros-HD-Profile.png/250px-Thoros-HD-Profile.png,png
Beric Dondarrion,http://img2.wikia.nocookie.net/__cb20140515114751/gameofthrones/images/thumb/2/2f/Beric-Dondarrion-Profile-HD.png/250px-Beric-Dondarrion-Profile-HD.png,png
Syrio Forel,http://img4.wikia.nocookie.net/__cb20120722210850/gameofthrones/images/thumb/6/63/Syrio_Forel.png/250px-Syrio_Forel.png,png
Daenerys Targaryen,http://img3.wikia.nocookie.net/__cb20150617180426/gameofthrones/images/thumb/9/9b/Daenerys-MothersMercy.jpg/250px-Daenerys-MothersMercy.jpg,jpg
Jaqen H'ghar,http://img2.wikia.nocookie.net/__cb20150421020227/gameofthrones/images/thumb/3/3b/AManSeason5.jpg/250px-AManSeason5.jpg,jpg
Jojen Reed,http://img2.wikia.nocookie.net/__cb20140618061450/gameofthrones/images/thumb/2/23/Jojen-Reed-Profile.jpg/250px-Jojen-Reed-Profile.jpg,jpg
Meera Reed,http://img2.wikia.nocookie.net/__cb20140618075345/gameofthrones/images/thumb/6/62/Meera-Reed-Profile_2-HD.png/250px-Meera-Reed-Profile_2-HD.png,png
Rodrik Cassel,http://img3.wikia.nocookie.net/__cb20130122155003/gameofthrones/images/thumb/6/6b/Rodrik_profile.jpg/250px-Rodrik_profile.jpg,jpg
Tyrion Lannister,http://img4.wikia.nocookie.net/__cb20150218060011/gameofthrones/images/thumb/e/e1/TyrionS5.png/250px-TyrionS5.png,png
Shae,http://img1.wikia.nocookie.net/__cb20140505142823/gameofthrones/images/thumb/0/01/Shae_in_Two_Swords.png/250px-Shae_in_Two_Swords.png,png
Jon Snow,http://img4.wikia.nocookie.net/__cb20150512181258/gameofthrones/images/thumb/9/95/Jon_Snow_%28S05E05%29.jpg/250px-Jon_Snow_%28S05E05%29.jpg,jpg
Olenna Tyrell,http://img4.wikia.nocookie.net/__cb20140417125307/gameofthrones/images/thumb/c/c3/Olenna-Tyrell-S4EP01.jpg/250px-Olenna-Tyrell-S4EP01.jpg,jpg
Oberyn Martell,http://img1.wikia.nocookie.net/__cb20150302145403/gameofthrones/images/thumb/6/67/Oberyn_Martell_%28Season_4%2C_Episode_06%29.png/250px-Oberyn_Martell_%28Season_4%2C_Episode_06%29.png,png
Ellaria Sand,http://img2.wikia.nocookie.net/__cb20150313155847/gameofthrones/images/thumb/4/42/Ellaria-S5.png/250px-Ellaria-S5.png,png
Meryn Trant,http://img2.wikia.nocookie.net/__cb20140928135510/gameofthrones/images/thumb/4/46/Ser_Meryn.png/250px-Ser_Meryn.png,png
Grey Worm,http://img2.wikia.nocookie.net/__cb20140618231552/gameofthrones/images/thumb/a/a8/Grey_Worm_Profile.jpg/250px-Grey_Worm_Profile.jpg,jpg
Missandei,http://img3.wikia.nocookie.net/__cb20150219051321/gameofthrones/images/thumb/e/e2/MissS5.png/250px-MissS5.png,png
Drogon,http://img2.wikia.nocookie.net/__cb20150617073358/gameofthrones/images/f/f1/Drogon_5x10.jpg,jpg
Daario Naharis,http://img1.wikia.nocookie.net/__cb20150619210538/gameofthrones/images/c/c0/004.jpg,jpg
Shireen Baratheon,http://img1.wikia.nocookie.net/__cb20140406204724/gameofthrones/images/thumb/e/eb/Shireen_Baratheon_Season_4_profile.jpg/250px-Shireen_Baratheon_Season_4_profile.jpg,jpg
Melisandre,http://img2.wikia.nocookie.net/__cb20150604204859/gameofthrones/images/thumb/7/7c/Melisandre_The_Dance_of_Dragons.jpg/250px-Melisandre_The_Dance_of_Dragons.jpg,jpg
Davos Seaworth,http://img1.wikia.nocookie.net/__cb20150419151136/gameofthrones/images/4/4b/Davos_Seaworth_%28S05E01%29.jpg,jpg
Yara Greyjoy,http://img2.wikia.nocookie.net/__cb20131003215834/gameofthrones/images/thumb/3/3c/YaraS3.jpg/250px-YaraS3.jpg,jpg
Lysa Arryn,http://img2.wikia.nocookie.net/__cb20140523133128/gameofthrones/images/thumb/4/46/LysaArryn.png/250px-LysaArryn.png,png
Robin Arryn,http://img2.wikia.nocookie.net/__cb20140505062813/gameofthrones/images/thumb/2/2e/Robin-Arryn-405.jpg/250px-Robin-Arryn-405.jpg,jpg
Gilly,http://img1.wikia.nocookie.net/__cb20140615212038/gameofthrones/images/0/0e/Gilly.png,png
Craster,http://img2.wikia.nocookie.net/__cb20140518155925/gameofthrones/images/thumb/7/78/CrasterHD3x03.png/250px-CrasterHD3x03.png,png
Ygritte,http://img3.wikia.nocookie.net/__cb20140518100049/gameofthrones/images/thumb/4/47/Ygritte-Profile-HD.png/250px-Ygritte-Profile-HD.png,png
Mance Rayder,http://img2.wikia.nocookie.net/__cb20150414032900/gameofthrones/images/thumb/c/cc/Mance_rayder_wars_to_come.png/250px-Mance_rayder_wars_to_come.png,png
Tormund Giantsbane,http://img2.wikia.nocookie.net/__cb20150415044031/gameofthrones/images/4/46/TormundGS5.png,png
Mirri Maz Duur,http://img2.wikia.nocookie.net/__cb20110517131429/gameofthrones/images/7/75/Mirri_Maz_Duur.jpg,jpg
Hot Pie,http://img1.wikia.nocookie.net/__cb20140529081339/gameofthrones/images/thumb/1/17/Hot_Pie-Profile-HD.png/250px-Hot_Pie-Profile-HD.png,png
Lancel Lannister,http://img3.wikia.nocookie.net/__cb20150614183043/gameofthrones/images/thumb/1/15/Lancel_S5E4.png/250px-Lancel_S5E4.png,png
Doran Martell,http://img2.wikia.nocookie.net/__cb20150131015940/gameofthrones/images/thumb/1/14/Doran_Martell_Prince_of_Dorne.jpg/250px-Doran_Martell_Prince_of_Dorne.jpg,jpg
Osha,http://img2.wikia.nocookie.net/__cb20130305150846/gameofthrones/images/thumb/4/49/Osha-S3.jpg/250px-Osha-S3.jpg,jpg
High Sparrow,http://img1.wikia.nocookie.net/__cb20150201141749/gameofthrones/images/8/89/High_Sparrow.png,png
Catelyn Stark,http://img2.wikia.nocookie.net/__cb20140515200719/gameofthrones/images/thumb/f/fb/Catelyn-Stark-Profile-HD.png/250px-Catelyn-Stark-Profile-HD.png,png
Theon Greyjoy,http://img3.wikia.nocookie.net/__cb20150521020701/gameofthrones/images/0/0a/Reek_in_sansas_wedding.jpg,jpg
Cersei Lannister,http://img3.wikia.nocookie.net/__cb20150617003215/gameofthrones/images/thumb/f/f6/Cersei_Lannister_%28S05E10%29.jpg/250px-Cersei_Lannister_%28S05E10%29.jpg,jpg
Jaime Lannister,http://img3.wikia.nocookie.net/__cb20150422205941/gameofthrones/images/thumb/8/81/Jaime_Lannister_%28S05E02%29.jpg/250px-Jaime_Lannister_%28S05E02%29.jpg,jpg
Stannis Baratheon,http://img3.wikia.nocookie.net/__cb20150609005538/gameofthrones/images/thumb/7/7a/Stannis_S05E09.png/250px-Stannis_S05E09.png,png
Varys,http://img3.wikia.nocookie.net/__cb20150218060453/gameofthrones/images/thumb/a/ae/Varys_S5.jpg/250px-Varys_S5.jpg,jpg
