Character 	Background (From Wikia)	Picture (From wiki)	Episode died	Wikia link	Affiliation
Rodrik Cassel	Ser Rodrik Cassel is Master-at-Arms at Winterfell and a loyal servant to House Stark. Even in his old age he is still a skilled warrior. He was murdered by Theon Greyjoy during the fall of Winterfell.	http://img3.wikia.nocookie.net/__cb20130122155003/gameofthrones/images/thumb/6/6b/Rodrik_profile.jpg/250px-Rodrik_profile.jpg	16	http://gameofthrones.wikia.com/wiki/Rodrik_Cassel	Stark
Sansa Stark	"Sansa is the daughter of Lord Eddard Stark of Winterfell and his wife Lady Catelyn, sister of Robb, Arya, Bran and Rickon Stark, and half-sister of Jon Snow. She moves to King's Landing when her father is appointed Hand of the King to Robert Baratheon, and she is betrothed to heir apparent Joffrey.  Things soon turn sour for Sansa in King's Landing; she is forced to watch as her father is betrayed and executed for treason by Joffrey. During the resulting War of the Five Kings, Sansa is effectively a prisoner of the Lannisters, and repeatedly humiliated and brutalized by Joffrey, who later repudiates his betrothal to her in favor of Margaery Tyrell. During her captivity, Sansa, by now thought to be the last surviving Stark and thus the key to the North, is unwillingly married to Tyrion Lannister at the behest of his father. In the wake of Joffrey's assassination, she is spirited away from the city by Petyr Baelish. She adopts the alias of Alayne and is presented as Lord Petyr's niece, to hide her from recapture by the Lannisters, although she has recently been married to Ramsay Bolton as part of Baelish's bigger schemes. Sansa is frequently praised as being very beautiful. Though her naivetニ_ニ__ニ_ニ__ has cost her dearly in the past, Sansa has begun to learn from her mistakes and is ready to be more than just a pawn in the game of thrones."	http://img3.wikia.nocookie.net/__cb20150518204704/gameofthrones/images/thumb/5/59/Sansa-S05E06.jpg/250px-Sansa-S05E06.jpg		http://gameofthrones.wikia.com/wiki/Sansa_Stark	Stark
Talisa Maegyr	"During the War of the Five Kings Talisa worked as a healer on the battlefields of the Westerlands, where she met the King in the North, Robb Stark. She and Robb subsequently married, and she fell pregnant with his heir. Talisa was murdered along with Robb, Catelyn Stark and most of the northern bannermen at the Red Wedding."	http://img2.wikia.nocookie.net/__cb20150515053353/gameofthrones/images/thumb/c/ca/Talisa3x9.jpg/250px-Talisa3x9.jpg	29	http://gameofthrones.wikia.com/wiki/Talisa_Stark	Stark
Jeor Mormont	He is played by starring cast member James Cosmo. Jeor Mormont is the Lord Commander of the Night's Watch. He leads a great ranging north of the Wall to investigate rumors of wildlings amassing and White Walkers being sighted. He is killed at Craster's Keep by his own men after they rebel against the Lord Commander for not standing up to Craster.	http://img4.wikia.nocookie.net/__cb20140515205439/gameofthrones/images/thumb/6/65/Jeor-Mormont-Profile-HD.png/250px-Jeor-Mormont-Profile-HD.png	24	http://gameofthrones.wikia.com/wiki/Jeor_Mormont	Night's Watch
Jon Snow	"Jon is the bastard son of Lord Eddard Stark of Winterfell. He was a steward in the Night's Watch. Now serving on the Wall, Jon has found a place of acceptance where the circumstances of his birth are of little importance. He has a pet direwolf named Ghost, and wields the bastard sword, Longclaw, which was a gift from Lord Commander Jeor Mormont, who took Jon as his personal steward and came to see him as a surrogate son.  On a mission to discover King-Beyond-the-Wall Mance Rayder's plans, Jon infiltrated the wildling army. While learning their plans, Jon fell in love with a wildling woman, Ygritte, and began a relationship with her. Jon was forced to leave her behind after they scaled the Wall. Jon returned to his sworn brothers in the Watch and warned them about the coming invasion.  After the Battle of Castle Black, the defense of which he helped lead, Jon was narrowly elected the 998th Lord Commander of the Night's Watch. As Lord Commander, Jon supported a controversial alliance between the Night's Watch and the Free Folk to fight against the White Walkers, and with his wildling ally, Tormund, he traveled to Hardhome, where most of the Free Folk was massacred by the White Walkers and only a few thousand managed to escape with Jon. In that battle Jon became the second black brother to kill a White Walker, as well as discovering their vulnerability to Valyrian steel. After all his hard choices to do the right thing for the greater good, his strained relationship with his Watch brothers finally seals his fate. As they mutiny against him, Jon Snow is left to die."	http://img4.wikia.nocookie.net/__cb20150512181258/gameofthrones/images/thumb/9/95/Jon_Snow_%28S05E05%29.jpg/250px-Jon_Snow_%28S05E05%29.jpg	50	http://gameofthrones.wikia.com/wiki/Jon_Snow	Night's Watch
Maester Aemon	"Aemon is the maester at Castle Black and is one of Lord Commander Jeor Mormont's closest advisers in the Night's Watch.  He was born Aemon Targaryen and is the last Targaryen in Westeros. He is the great uncle of Daenerys Targaryen, who is currently in Essos and unaware of his existence. Aemon's origins have long been forgotten by most, as he has remained dedicated to his vows as a Maester and a brother of the Night's Watch for decades uncounted. "	http://img1.wikia.nocookie.net/__cb20150511170352/gameofthrones/images/thumb/3/32/Aemonepisode5.png/250px-Aemonepisode5.png	47	http://gameofthrones.wikia.com/wiki/Aemon	Night's Watch
Samwell Tarly	"Samwell is a steward in the Night's Watch. He is intelligent, well-educated, and insightful, but overweight, unskilled at combat, and believes himself a useless coward (though at least openly admits he is a coward and occasionally shows stirring moments of bravery).  He is popularly called ""Sam"", and disparagingly as ""Ser Piggy"" and ""Sam the Slayer"". He is gentle, bookish and shy. He is a large boy who, though having grown up in a comfortable setting, was consistently abused by his father, his instructors, and his peers."	http://img2.wikia.nocookie.net/__cb20140519172406/gameofthrones/images/thumb/1/1c/Samwell_Tarly_in_Mockingbird.png/250px-Samwell_Tarly_in_Mockingbird.png		http://gameofthrones.wikia.com/wiki/Samwell_Tarly	Night's Watch
Ser Alliser Thorne	"Ser Alliser Thorne is the Master-at-Arms at Castle Black and is responsible for training new recruits to the Night's Watch.  Ser Alliser becomes acting Lord Commander of the Night's Watch after Jeor Mormont's death and initially leads the defense of Castle Black against Mance Rayder's army before being wounded. A candidate to succeed Mormont as Lord Commander, Thorne is narrowly defeated by Jon Snow, with whom he has a conflicted relationship. Snow appoints Ser Alliser as the new First Ranger after his election, to pacify his supporters and to make use of his experience as a ranger."	http://img3.wikia.nocookie.net/__cb20150527132944/gameofthrones/images/thumb/7/75/Alliserthorne-s5e7.jpg/250px-Alliserthorne-s5e7.jpg		http://gameofthrones.wikia.com/wiki/Alliser_Thorne	Night's Watch
Daario Naharis	"Originally a lieutenant in the Second Sons, a sellsword company, he takes over the company after killing his superiors Mero and Prendahl na Ghezn and then aligns with Daenerys Targaryen. Daario serves Daenerys as her advisor and enforcer, he eventually also becomes her lover."			http://gameofthrones.wikia.com/wiki/Daario_Naharis	Targaryen
Daenerys Targaryen	"She is the only surviving child of King Aerys II Targaryen, who was ousted from the Iron Throne during Robert's Rebellion. Daenerys's mother was sent to safety on Dragonstone island just before the Sack of King's Landing, and died giving birth to her during a great storm which wrecked the remaining Targaryen fleet at anchor, earning her the sobriquet Daenerys Stormborn. She lived in exile in Essos, until she was married by her brother to the Dothraki Khal Drogo; the two gradually fell in love, but she lost her husband and stillborn son to the manipulations of the vengeful maegi Mirri Maz Duur. She hatched three dragons by having her petrified dragon eggs placed on Drogo's funeral pyre, before she walked into the flames to claim them. Her dragons are the first seen in the world for hundreds of years, earning her the sobriquet Mother of Dragons.  During her campaign in Slaver's Bay, she is introduced as Daenerys Stormborn of the House Targaryen, the First of Her Name, the Unburnt, Queen of Meereen, Queen of the Andals and the Rhoynar and the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains, and Mother of Dragons. ニ_ニ__ニ_ニ__ニ_ニ__She has proven herself as a leader and a conqueror through her conquests of the Free Cities of Astapor and Yunkai."	http://img3.wikia.nocookie.net/__cb20150617180426/gameofthrones/images/thumb/9/9b/Daenerys-MothersMercy.jpg/250px-Daenerys-MothersMercy.jpg		http://gameofthrones.wikia.com/wiki/Daenerys_Targaryen	Targaryen
Drogon	"Drogon is one of the dragons born in the Dothraki Sea, along with Viserion and Rhaegal. He is named after Daenerys' late husband Khal Drogo. He is distinguishable by his black and red colored scales, and red-black wings. He is the largest and most aggressive of the three hatchlings."	http://img2.wikia.nocookie.net/__cb20150617073358/gameofthrones/images/f/f1/Drogon_5x10.jpg		http://gameofthrones.wikia.com/wiki/Drogon	Targaryen
Grey Worm	"Grey Worm is the commander of the Unsullied, the warrior-eunuchs of Astapor whose reputation for combat is without equal.  Like all Unsullied, Grey Worm's castration as a boy resulted in changes to his body's hormones, so he is smooth-cheeked with absolutely no facial hair."	http://img2.wikia.nocookie.net/__cb20140618231552/gameofthrones/images/thumb/a/a8/Grey_Worm_Profile.jpg/250px-Grey_Worm_Profile.jpg		http://gameofthrones.wikia.com/wiki/Grey_Worm	Targaryen
Jorah Mormont	"Ser Jorah is an exiled Northern lord living in Essos. He has sworn fealty to his fellow exile Daenerys Targaryen and helps her adapt to life as a Khaleesi of the Dothraki.  Originally, Jorah was working as a spy for Varys, King Robert's spymaster in King's Landing, sending Varys information about the Targaryen exiles. But he grows to respect and admire Daenerys and begins serving her in earnest. He saves her from an assassination attempt, stops sending reports to Varys and ignores an official royal pardon which would allow him to return home to Westeros. He develops strong and unrequited feelings for her. When Daenerys learns of his past spying, he is dismissed from her service and ordered to leave her presence, but has recently given her the gift of Tyrion Lannister in a hope to earn her trust once more."	http://img3.wikia.nocookie.net/__cb20150605193636/gameofthrones/images/thumb/4/46/Jorah-hd-still-S5E8.jpg/250px-Jorah-hd-still-S5E8.jpg		http://gameofthrones.wikia.com/wiki/Jorah_Mormont	Targaryen
Khal Drogo	"Drogo is a khal, or chieftain, of the Dothraki people and is often referred to with his full title, Khal Drogo.  Drogo is a powerful warlord and feared warrior. He marries Daenerys Targaryen and subsequently grows to love her. He promises to retake the Seven Kingdoms for her after she survives an assassination attempt. He raids a Lhazareen village to take slaves to fund the planned invasion. After the fight was over he was challenged to a fight by the Khal of the men in the village who believed him unworthy to continue leading the Khalasar as it appeared the Khal was obeying the orders of a woman. Drogo kills the warrior but receives a scratch to his chest and is treated by the godswife and maegi Mirri Maz Duur. His wound festers and he becomes gravely unwell. Daenerys asks Mirri Maz Duur to save him using blood magic but Mirri Maz Duur uses a spell that leaves him in a vegetative state in revenge for the destruction of her village. Daenerys ends his suffering by smothering him, then burning the body. Daenerys walks into the flames with her dragon eggs, but survives the inferno and hatches three dragons. She names the largest one Drogon to commemorate her late husband."	http://img1.wikia.nocookie.net/__cb20110626031733/gameofthrones/images/thumb/1/1f/Drogo_1x01b.jpg/250px-Drogo_1x01b.jpg	10	http://gameofthrones.wikia.com/wiki/Drogo	Targaryen
Missandei	"A slave who served as an interpreter to the masters of Astapor, Missandei was freed when Daenerys Targaryen took the Unsullied army and used it to overthrow the slavers. Missandei now serves Daenerys as her trusted advisor and handmaiden."	http://img3.wikia.nocookie.net/__cb20150219051321/gameofthrones/images/thumb/e/e2/MissS5.png/250px-MissS5.png		http://gameofthrones.wikia.com/wiki/Missandei	Targaryen
Varys	"Varys is a eunuch and was the Master of Whisperers on the king's small council until he is forced to flee King's Landing with Tyrion Lannister. He is a skilled manipulator and commands a network of informants across two continents.    Varys' true loyalties are eventually revealed to be to Daenerys Targaryen (though she herself is unaware of this), as he believes her rule would be the best way to preserve peace and prosperity in the Seven Kingdoms. He and Tyrion travel to Meereen in the hopes of serving as her advisers.  "	http://img3.wikia.nocookie.net/__cb20150218060453/gameofthrones/images/thumb/a/ae/Varys_S5.jpg/250px-Varys_S5.jpg		http://gameofthrones.wikia.com/wiki/Varys	Targaryen
Viserys Targaryen	"Viserys is the exiled head of House Targaryen and considers himself the rightful ruler of the Seven Kingdoms. He arranges the marriage of his younger sister Daenerys Targaryen to the Dothraki Khal Drogo to provide the army he needs to retake the Iron Throne. He eventually grows impatient with Drogo and threatens to kill Daenerys if Drogo does not deliver his crown as agreed. Drogo responds by crowning Viserys in molten gold, killing him.  He formally styled himself as Viserys of House Targaryen, the Third of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm."	http://img2.wikia.nocookie.net/__cb20121214155927/gameofthrones/images/thumb/4/46/Viseryspromoheadshot.jpg/250px-Viseryspromoheadshot.jpg	6	http://gameofthrones.wikia.com/wiki/Viserys_Targaryen	Targaryen
Bronn	"He is played by starring cast member Jerome Flynn. He is a skilled and dangerous sellsword who comes to prominence when he champions for Tyrion Lannister in his trial by combat in the Eyrie. Bronn subsequently enters Tyrion's service as his bodyguard and enforcer.  While Bronn begins as a common and obscure mercenary, over the course of the narrative his fortunes continue to gradually rise. Bronn is briefly appointed Commander of the City Watch in King's Landing when Tyrion is acting Hand in Season 2. He is then rewarded with a knighthood for the vital role he performed during the Battle of the Blackwater, taking on the formal name ""Ser Bronn of the Blackwater"". His status in Westerosi society rises even further when he is betrothed to Lollys Stokeworth."	http://img2.wikia.nocookie.net/__cb20150422210515/gameofthrones/images/thumb/a/ab/Bronn_of_the_Blackwater_S5.jpg/250px-Bronn_of_the_Blackwater_S5.jpg		http://gameofthrones.wikia.com/wiki/Bronn	Lannister
Cersei Lannister	"Cersei is the widow of King Robert Baratheon and Queen Regent of the Seven Kingdoms. She installed her son Joffrey Baratheon on the Iron Throne under the false claim that he was a legitimate son from her marriage but he was actually the product of her incestuous relationship with her younger twin brother Ser Jaime Lannister.  After her husband's death during a hunt, Cersei and Joffrey seize the throne, ignoring Robert's will which gave the regency to Eddard Stark. Lord Stark is arrested and later executed on Joffrey's order, an act which starts the War of the Five Kings. As King's Landing faces threat from Stannis Baratheon, Cersei engages in a struggle for power with her brother, Tyrion Lannister, who was acting as Hand of the King in their father's stead. After the Battle of the Blackwater, she becomes distrusful of House Tyrell, the Lannisters' main allies in the war, and especially of Margaery Tyrell, her son's betrothed.  After her son's death during his wedding, Cersei accuses her brother, Tyrion, of his murder and leads a heavily biased trial against him. However, despite being found guilty, Tyrion escapes and kills their father, Tywin Lannister, in the process. Without her father or brother in King's Landing, Cersei takes over the rule of the realm. However, displeased with the growing power of House Tyrell, she reestablishes the Faith Militant and has Loras Tyrell arrested for homosexuality. When Margaery perjures herself to save her brother, she is also arrested. However, Cersei's triumph is short-lived as she is also arrested on charges of incest, adultery and regicide."	http://img3.wikia.nocookie.net/__cb20150617003215/gameofthrones/images/thumb/f/f6/Cersei_Lannister_%28S05E10%29.jpg/250px-Cersei_Lannister_%28S05E10%29.jpg		http://gameofthrones.wikia.com/wiki/Cersei_Lannister	Lannister
Gregor Clegane	"Ser Gregor Clegane is the head of House Clegane, minor vassals of House Lannister. Ser Gregor is a notoriously fearsome warrior with a tendency toward extreme violence. Due to his freakishly huge size, he is called ""The Mountain That Rides"" or more so often simply ""The Mountain"".  During the War of the Five Kings he raided the Riverlands on orders from his liege lord Tywin Lannister. Ser Gregor served briefly as castellan of Harrenhal before withdrawing his troops. Later, Gregor Clegane was requested by Cersei Lannister as a Champion for the Crown in Tyrion Lannister's trial by combat. His opponent was Prince Oberyn Martell of Dorne, who had volunteered in order to avenge his sister, Elia Martell, who Gregor had raped and murdered, as well as killing her children, during the Sack of King's Landing. Although he narrowly managed to kill his opponent, he was gravely wounded and poisoned, and is currently being treated by Qyburn.  After Cersei returns to the Red Keep after completing her Walk of Atonement, Qyburn introduces her to the newest addition to the Kingsguard. A very tall knight in gold armour appears, presumably Gregor, and lifts Cersei away so her wounds can be treated."	http://img1.wikia.nocookie.net/__cb20140707234843/gameofthrones/images/thumb/b/be/Gregor_Clegane_4x07.jpg/250px-Gregor_Clegane_4x07.jpg		http://gameofthrones.wikia.com/wiki/Gregor_Clegane	Lannister
Jaime Lannister	"Ser Jaime Lannister is a knight of the Kingsguard, the son of Tywin Lannister, twin brother of Queen Cersei Lannister, and older brother of Tyrion Lannister. Previously he served in the Kingsguard of Aerys II Targaryen and, infamously, he betrayed and killed Aerys during the Sack of King's Landing, earning him the sobriquet ""Kingslayer"". Jaime is involved in an incestuous relationship with Cersei, and, unknown to most, is the biological father of her three children, Joffrey, Myrcella and Tommen.  Jaime visits Winterfell in King Robert's entourage; he pushes Bran Stark from a window when Bran sees him having intercourse with Cersei. Bran survives but is paralyzed from the waist down and has no memory of the event. When war breaks out with the Starks, Jaime leaves his King's Landing to join his father in the Riverlands. However, his army is routed by Robb Stark's forces during the Battle of the Whispering Wood and he is taken prisoner. Catelyn Stark later releases him with the promise that he will return her daughters Sansa and Arya to her. Escorted by Brienne of Tarth, they begin an arduous journey back to King's Landing, during which Jaime's sword hand is cut off by Locke. Jaime and Brienne eventually reach the capital, where Jaime ultimately helps Tyrion escape from prison for a murder he did not commit, though it indirectly leads to Tywin's murder at Tyrion's hands, which Jaime holds himself partly responsible for. Jaime later goes to Dorne to rescue his daughter, Myrcella."	http://img3.wikia.nocookie.net/__cb20150422205941/gameofthrones/images/thumb/8/81/Jaime_Lannister_%28S05E02%29.jpg/250px-Jaime_Lannister_%28S05E02%29.jpg		http://gameofthrones.wikia.com/wiki/Jaime_Lannister	Lannister
Joffrey Baratheon	"Joffrey ruled the Seven Kingdoms, having claimed the Iron Throne after his legal father, King Robert Baratheon, died. However, Joffrey was actually the bastard son of the incestuous relationship between Ser Jaime Lannister and Queen Cersei Lannister. Because of this, his claim to the Iron Throne was challenged by Robert's younger brother, Stannis Baratheon. He was formally styled as His Grace, Joffrey of the Houses Baratheon and Lannister, the First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm.  Joffrey was originally betrothed to Sansa Stark, whom he kept captive in King's Landing after he beheaded her father for treason, as Eddard Stark tried to reveal the truth about his parentage. However, he later set Sansa aside in favor of Margaery Tyrell, as part of the new alliance between House Lannister, the primary supporters of Joffrey, and House Tyrell, the ruling house of the Reach whose support helped save King's Landing from Stannis Baratheon's attack.  At his wedding to Margaery Tyrell, Joffrey was assassinated by drinking poisoned wine. His final gesture as he was dying was towards his uncle, Tyrion Lannister. Upon his death, Cersei Lannister ニ_ニ__ニ_ニ__ニ_ニ__arrests Tyrion on the grounds of regicide, though the actual orchestrators are Lord Petyr Baelish and Lady Olenna Tyrell."	http://img3.wikia.nocookie.net/__cb20140514092040/gameofthrones/images/thumb/4/4c/Joffrey-Baratheon-Profile-HD.png/250px-Joffrey-Baratheon-Profile-HD.png	32	http://gameofthrones.wikia.com/wiki/Joffrey_Baratheon	Lannister
Lancel Lannister	" Lancel Lannister is the eldest son of Kevan Lannister and a nephew of Tywin Lannister. He was the squire to King Robert Baratheon and ensured that Robert had plenty of wine during his final hunt. Following Robert's death he becomes the lover of Queen Regent Cersei Lannister, his first cousin, and is also elevated to knighthood.  As he recovered from his wounds from the Battle of the Blackwater, Lancel became pious and joined the religious cult known as the Sparrows, much to his father's chagrin."	http://img3.wikia.nocookie.net/__cb20150614183043/gameofthrones/images/thumb/1/15/Lancel_S5E4.png/250px-Lancel_S5E4.png		http://gameofthrones.wikia.com/wiki/Lancel	Lannister
Podrick Payne	"Podrick Payne was Tyrion Lannister's squire, but has since been given to Brienne of Tarth."	http://img1.wikia.nocookie.net/__cb20140618215825/gameofthrones/images/thumb/6/6c/Podrick-Payne-Profile-HD.png/250px-Podrick-Payne-Profile-HD.png		http://gameofthrones.wikia.com/wiki/Podrick_Payne	Lannister
Qyburn	Qyburn is a former maester of the Citadel. He was stripped of his chain by the Archmaesters for engaging in forbidden experiments.	http://img3.wikia.nocookie.net/__cb20150420170635/gameofthrones/images/thumb/0/00/Qyburn-S5.png/250px-Qyburn-S5.png		http://gameofthrones.wikia.com/wiki/Qyburn	Lannister
